Model,Params,Train Time (s),Final Train Acc (%),Final Val Acc (%),Final Train Loss,Final Val Loss,Test Acc (%),Test Loss
EfficientNetB0_none,4214829,122.61,93.37,96.7,0.205,0.1014,96.7,0.1014
EfficientNetB0_se,4419629,106.03,95.09,96.5,0.158,0.0877,96.5,0.0877
EfficientNetB0_cbam,4419727,121.82,96.28,97.6,0.1278,0.0659,97.6,0.0659
EfficientNetB0_pam,6262830,163.88,95.18,96.3,0.139,0.1143,96.3,0.1143
EfficientNetB0_gc,4419629,110.45,94.13,96.3,0.1865,0.0921,96.3,0.0921
MobileNetV2_none,2423242,82.46,95,96.95,0.157,0.0994,96.95,0.0994
MobileNetV2_se,2628042,79.27,97.3,97.2,0.0923,0.1004,97.2,0.1004
MobileNetV2_cbam,2628140,91.28,97.06,97.6,0.0925,0.0867,97.6,0.0867
MobileNetV2_pam,4471243,113.53,97.36,96.4,0.0806,0.1431,96.4,0.1431
MobileNetV2_gc,2628042,80.75,95.94,97.25,0.1335,0.0961,97.25,0.0961
ResNet50_none,23851274,201.8,94.98,97.8,0.154,0.0728,97.8,0.0728
ResNet50_se,24375562,230.53,97.55,97.75,0.0793,0.0723,97.75,0.0723
ResNet50_cbam,24375660,208.9,97.92,97.6,0.0731,0.0772,97.6,0.0772
ResNet50_pam,29094155,238.98,97.05,97.1,0.0946,0.1015,97.1,0.1015
ResNet50_gc,24375562,209.44,96.12,97.65,0.1187,0.075,97.65,0.075
